,ndc,rxcui,ingredient_rxcui
45078,24208050505,1150836,1813
45079,24208050510,1150836,1813
45080,24208050515,1150836,1813
45081,24208050707,2118539,52177
45082,24208053210,891793,11256
45083,24208053210,891793,11423
45084,24208053210,891793,1151
45085,24208053210,891793,19143
45086,24208053210,891793,21842
45087,24208053230,891793,11256
45088,24208053230,891793,11423
45089,24208053230,891793,1151
45090,24208053230,891793,19143
45091,24208053230,891793,21842
45092,24208053535,864650,4678
45093,24208054005,996087,23410
45094,24208054010,996087,23410
45095,24208054015,996087,23410
45096,24208054505,1150832,1813
45097,24208054510,1150832,1813
45098,24208055555,308511,1291
45099,24208055555,308511,8536
45100,24208056162,244309,
45101,24208058060,310467,1596450
45102,24208058064,310467,1596450
45103,24208058559,314238,10869
45104,24208058564,314238,10869
45105,24208059064,313521,10869
45106,24208060105,707594,6146
45107,24208060110,707594,6146
45108,24208060201,1375922,19737
45109,24208060203,1375922,19737
45110,24208061577,197305,168
45111,24208062504,1116361,
45112,24208062901,863042,863035
45113,24208062902,863042,863035
45114,24208063110,204423,5492
45115,24208063110,204423,7299
45116,24208063110,204423,8536
45117,24208063210,891820,11256
45118,24208063210,891820,11359
45119,24208063210,891820,11423
45120,24208063210,891820,1151
45121,24208063210,891820,21842
45122,24208063211,891820,11256
45123,24208063211,891820,11359
45124,24208063211,891820,11423
45125,24208063211,891820,1151
45126,24208063211,891820,21842
45127,24208063562,310687,5492
45128,24208063562,310687,7299
45129,24208063562,310687,8536
45130,24208067004,1006120,10169
45131,24208067615,1000647,8328
45132,24208068115,1000862,8328
45133,24208068615,1000897,8328
45134,24208069762,1483021,
45135,24208071502,314165,8638
45136,24208071506,314165,8638
45137,24208071510,314165,8638
45138,24208072002,226343,3264
45139,24208072506,1046272,7247
45140,24208073006,1191013,34905
45141,24208073205,2099132,18889
45142,24208073205,2099132,25138
45143,24208073501,1298066,3001
45144,24208073506,1298066,3001
45145,24208074002,1234579,8163
45146,24208074006,1234579,8163
45147,24208074059,1234579,8163
45148,24208075006,1190655,1223
45149,24208075060,1190655,1223
45150,24208078055,308493,7299
45151,24208078055,308493,8536
45152,24208078055,308493,1291
45153,24208078555,1116150,5492
45154,24208078555,1116150,1291
45155,24208078555,1116150,7299
45156,24208078555,1116150,8536
45157,24208079062,310594,8536
45158,24208079062,310594,5011
45159,24208079062,310594,7299
45160,24208079535,309679,7299
45161,24208079535,309679,8536
45162,24208079535,309679,3264
45163,24208080060,754512,27291
45164,24208080615,1000917,8328
45165,24208081115,1000884,8328
45166,24208081205,1923429,10600
45167,24208081305,1992304,10600
45168,24208081310,1992304,10600
45169,24208081425,861420,10600
45170,24208081605,861422,10600
45171,24208081825,313407,10600
45172,24208081905,313408,10600
45173,24208082115,1000939,8328
45174,24208082555,1190570,1223
45175,24208083060,309680,7299
45176,24208083060,309680,8536
45177,24208083060,309680,3264
45178,24208091019,310149,4053
45179,24208091055,310149,4053
45180,24208092064,1547771,10391
45181,24208096067,312055,7597
45182,24208096094,312055,7597
45183,24208096110,831109,42612
45184,24338001018,905379,5470
45185,24338001018,905379,6058
45186,24338002010,1600700,725
45187,24338002110,1600698,725
45188,24338002210,1600700,725
45189,24338002610,1600698,725
45190,24338003101,2175894,725
45191,24338003301,2175796,725
45192,24338003501,2175891,725
45193,24338003702,2175893,725
45194,24338007102,1014130,9863
45195,24338008014,1792391,25126
45196,24338008014,1792391,2551
45197,24338010013,863606,4053
45198,24338010203,598006,4053
45199,24338010213,598006,4053
45200,24338010403,197650,4053
45201,24338010413,197650,4053
45202,24338010620,750839,4053
45203,24338011013,686405,4053
45204,24338011260,848119,4053
45205,24338011413,848121,4053
45206,24338012013,310154,4053
45207,24338012203,206075,4053
45208,24338012213,206075,4053
45209,24338012403,206078,4053
45210,24338012413,206078,4053
45211,24338012603,206080,4053
45212,24338012613,206080,4053
45213,24338013013,686420,4053
45214,24338013213,686402,4053
45215,24338013402,863603,4053
45216,24338013610,863603,4053
45217,24338015020,1944389,38782
45218,24338018304,1298427,6069
45219,24338020012,1423773,7426
45220,24338020016,1423773,7426
45221,24338030020,995019,4917
45222,24338030065,995019,4917
45223,24338032001,1041846,
45224,24338042001,881350,
45225,24338052001,1014318,
45226,24338053025,1593731,9947
45227,24338053048,1593731,9947
45228,24338060216,1098478,11377
45229,24338060216,1098478,9873
45230,24338061116,1098483,11377
45231,24338061116,1098483,9873
45232,24338062216,1098490,11377
45233,24338062216,1098490,9873
45234,24338065661,630475,9873
45235,24338070010,1796073,197
45236,24338071115,1294268,20877
45237,24338071115,1294268,34347
45238,24338071115,1294268,58295
45239,24338072215,1294312,20877
45240,24338072215,1294312,34347
45241,24338072215,1294312,58295
45242,24338081020,802720,
45243,24338085010,1426251,3288
45244,24338085110,1425339,3288
45245,24338085210,1426253,3288
45246,24338085310,1425337,3288
45247,24338085410,1535451,3288
45248,24338085510,1535456,3288
45249,24338085610,1535472,3288
45250,24357070106,1422080,6387
45251,24357070107,1422080,6387
45252,24357070115,1422080,6387
45253,24357070130,1422080,6387
45254,24357070215,1422078,6387
45255,24357070230,1422078,6387
45256,24357091101,1660014,3992
45257,24357091120,1660014,3992
45258,24359035001,1440028,
45259,24359035307,1812599,
45260,24359050901,2207037,
45261,24359054403,1745270,
45262,24385000605,598050,8610
45263,24385000605,598050,8570
45264,24385000926,197803,5640
45265,24385002103,106258,5492
45266,24385002868,318272,1191
45267,24385003316,647416,4910
45268,24385003330,647416,4910
45269,24385003928,283100,236719
45270,24385003928,283100,235496
45271,24385004562,308668,1399
45272,24385004562,308668,6750
45273,24385005452,1049154,8896
45274,24385005460,1049154,8896
45275,24385005978,310965,5640
45276,24385006003,1366116,1291
45277,24385006103,204602,7299
45278,24385006103,204602,8536
45279,24385006103,204602,1291
45280,24385006279,311813,
45281,24385006576,,
45282,24385006578,797544,797541
45283,24385007282,1234532,106212
45284,24385007282,1234532,34347
45285,24385007878,603312,
45286,24385009647,95394,
45287,24385010047,95394,
45288,24385010347,95394,
45289,24385010680,308915,1897
45290,24385010753,198509,1596
45291,24385011165,197505,2541
45292,24385011878,314216,9796
45293,24385012278,211630,
45294,24385012576,308934,20063
45295,24385013279,2466530,
45296,24385013978,1918511,
45297,24385013985,1918511,
45298,24385014203,998483,6932
45299,24385014878,309640,
45300,24385017058,314119,7407
45301,24385017158,311975,7407
45302,24385017553,1014571,20610
45303,24385017553,1014571,8896
45304,24385017562,1014571,20610
45305,24385017562,1014571,8896
45306,24385018826,1014673,20610
45307,24385019003,198707,5492
45308,24385020263,283641,4278
45309,24385020263,283641,6581
45310,24385020263,283641,1897
45311,24385020501,309367,2623
45312,24385020503,309367,2623
45313,24385021003,1087026,3498
45314,24385021003,1087026,58295
45315,24385023663,312881,9525
45316,24385026972,237420,1897
45317,24385027403,106258,5492
45318,24385027603,203105,5492
45319,24385027868,318272,1191
45320,24385028306,103403,5492
45321,24385029665,312773,9143
45322,24385029672,312773,9143
45323,24385030127,824586,8928
