,control,samp_size,OR,p_value,ci95_lower,ci95_upper
234,t2dControlEmerge,2000,1.1708817498291182,0.07947794326689772,0.985707110275108,1.3908432411533125
235,t2dControlEmerge,2000,1.342929418890512,0.000895586252670517,1.1304037821286195,1.5954117038829958
236,t2dControlEmerge,2000,1.2850533890978761,0.006572000934556611,1.0751689217765434,1.5359095481511191
237,t2dControlEmerge,2000,1.4409171075837743,5.187174065517015e-05,1.2085429318765586,1.7179713323909105
238,t2dControlEmerge,2000,1.476786459264557,1.2893070249075481e-05,1.2404184889766732,1.7581955329175696
239,t2dControlEmerge,2000,1.2946883557296485,0.004374694112510885,1.0864820304114258,1.5427939823608483
240,t2dControlEmerge,2000,1.2257036643653745,0.025619628770440876,1.028438694231913,1.4608060560777818
241,t2dControlEmerge,2000,1.4710498584422333,1.926915755727595e-05,1.2334022313164537,1.7544865990012182
242,t2dControlEmerge,2000,1.1515427047341942,0.12702961213989308,0.9655336960501816,1.3733861451455998
243,t2dControlEmerge,2000,1.1741040338565383,0.08489367999117274,0.9825979743380473,1.402934178901469
244,t2dControlEmerge,2000,1.1806021027831195,0.06191905789670003,0.9955348829989856,1.4000728140204628
245,t2dControlEmerge,2000,1.2626948414432817,0.01065476081048174,1.0586271819321222,1.5060998714368021
246,t2dControlEmerge,2000,1.1815874831747848,0.07503795976810151,0.9876472065798261,1.4136110253681777
247,t2dControlEmerge,2000,1.202020202020202,0.03565996208907423,1.015696650765964,1.4225237082106
248,t2dControlEmerge,2000,1.096794684358584,0.3130418879392013,0.9234289960901441,1.3027082588164831
249,t2dControlEmerge,2000,1.3299851729635122,0.0013711384871933213,1.1189474631768512,1.5808253903903033
250,t2dControlEmerge,2000,1.0226892424629173,0.8288516358823204,0.8632390525547828,1.2115917179071336
251,t2dControlEmerge,2000,1.2395209580838322,0.017119692494271657,1.0419824066812702,1.474508778341619
252,t2dControlEmerge,2000,1.4038990346343423,0.00016396858619248194,1.1783642841299957,1.6726003375962857
253,t2dControlEmerge,2000,1.2411013163701337,0.015794592169804,1.044402340718944,1.4748458687246393
254,t2dControlEmerge,2000,1.2088137159511465,0.038932228441861644,1.0133287455363322,1.4420104100552487
255,t2dControlEmerge,2000,1.2455541770057899,0.014052337537693579,1.0482489522364697,1.4799969077446748
256,t2dControlEmerge,2000,1.4293678036167081,7.564534269620434e-05,1.1989510725115902,1.704066466812639
257,t2dControlEmerge,2000,1.1679623764276803,0.07807367102660966,0.986622890605118,1.3826317286374097
258,t2dControlEmerge,2000,1.1556830293522389,0.10182695676950576,0.9759782339678399,1.368476486307356
259,t2dControlEmerge,2000,1.1326570587028213,0.17155779049037634,0.9526493790865767,1.3466780546893449
260,t2dControlEmerge,2000,1.23719165085389,0.018713502383040453,1.0391654032121223,1.4729543306688826
