,control,samp_size,OR,p_value,ci95_lower,ci95_upper,p < .05
128,t2dControlEmergeIgnoreLabValue,2000,1.3080601406961239,0.003162861382832803,1.0968060568113682,1.5600035403271235,True
129,t2dControlEmergeIgnoreLabValue,2000,1.4846370068818455,6.729160108924509e-06,1.2508147194382462,1.7621690950303077,True
130,t2dControlEmergeIgnoreLabValue,2000,1.048600015795005,0.6247903942716657,0.8808459260357397,1.248302297399362,False
131,t2dControlEmergeIgnoreLabValue,2000,1.0577756379393355,0.5447183987196094,0.8927283430227214,1.2533368173676216,False
132,t2dControlEmergeIgnoreLabValue,2000,1.1689370153361847,0.08107575093149616,0.9849711413429012,1.3872627211799402,False
133,t2dControlEmergeIgnoreLabValue,2000,1.376796762338931,0.00038659893778280084,1.1556762219217933,1.640225254124198,True
134,t2dControlEmergeIgnoreLabValue,2000,1.1072791016018915,0.27871283605464736,0.927596818910785,1.3217671555665542,False
135,t2dControlEmergeIgnoreLabValue,2000,1.1885472226994096,0.05402284607949209,1.0007431575085075,1.4115954628193133,False
136,t2dControlEmergeIgnoreLabValue,2000,1.1585526645192517,0.10361776713515877,0.9748059003738839,1.376934911811515,False
137,t2dControlEmergeIgnoreLabValue,2000,1.3829270570654713,0.00032310133145088096,1.1606356738484431,1.64779291922187,True
138,t2dControlEmergeIgnoreLabValue,2000,1.176391441323182,0.0680596991858331,0.9918896488457817,1.3952124864180329,False
139,t2dControlEmergeIgnoreLabValue,2000,1.1741506527539645,0.07318961672500202,0.9890113713650436,1.3939473248520515,False
140,t2dControlEmergeIgnoreLabValue,2000,1.381572761155893,0.0002776301098806115,1.1622640775773263,1.6422630030402232,True
141,t2dControlEmergeIgnoreLabValue,2000,1.2377409126965078,0.021004162220471446,1.0359740202674277,1.4788040404404275,True
142,t2dControlEmergeIgnoreLabValue,2000,1.0118506346014828,0.9293891327095845,0.850511358827478,1.2037954533081128,False
143,t2dControlEmergeIgnoreLabValue,2000,1.1291144470458614,0.1921530714920371,0.9464365509753008,1.3470521961708892,False
144,t2dControlEmergeIgnoreLabValue,2000,1.23083581802443,0.020197201044734034,1.0360503873227511,1.4622424058415286,True
145,t2dControlEmergeIgnoreLabValue,2000,1.3021148036253776,0.0029666914253620317,1.096295105916961,1.546575326907264,True
146,t2dControlEmergeIgnoreLabValue,2000,1.145005790691773,0.11845718675742228,0.9702534938998101,1.351232712853362,False
147,t2dControlEmergeIgnoreLabValue,2000,1.294786675642261,0.0037898110246448605,1.0894171563965747,1.5388710610781504,True
148,t2dControlEmergeIgnoreLabValue,2000,1.1150913537620486,0.2166865654035419,0.9434721386191023,1.3179284012083317,False
149,t2dControlEmergeIgnoreLabValue,2000,0.9779253102873573,0.8292789689597904,0.8258094505473956,1.1580612353935966,False
150,t2dControlEmergeIgnoreLabValue,2000,1.209520177840727,0.03268763640141457,1.0191257528793443,1.4354843418200425,True
151,t2dControlEmergeIgnoreLabValue,2000,1.152426795026073,0.11003611512202799,0.9727169073340861,1.3653381655860584,False
152,t2dControlEmergeIgnoreLabValue,2000,1.067711548802103,0.4825245930282092,0.8988897040910419,1.268240081354768,False
153,t2dControlEmergeIgnoreLabValue,2000,1.3341212273085405,0.0012911820597049286,1.121351529333284,1.587262693807981,True
154,t2dControlEmergeIgnoreLabValue,2000,1.1729141736569186,0.06727181228628333,0.9924323838392182,1.38621802469131,False
155,t2dControlEmergeIgnoreLabValue,2000,1.2927889289186252,0.004816413224063376,1.0839574479927236,1.5418531583776567,True
156,t2dControlEmergeIgnoreLabValue,2000,1.1224549773866475,0.2033321328858737,0.9449736362597216,1.3332701865068566,False
157,t2dControlEmergeIgnoreLabValue,2000,1.1142552462200557,0.24464888953080222,0.9348432349398565,1.3280994153087011,False
158,t2dControlEmergeIgnoreLabValue,2000,1.0676895306859207,0.46844559827104915,0.9032656168962437,1.262043979769094,False
159,t2dControlEmergeIgnoreLabValue,2000,1.3731566751279558,0.000408622206804073,1.1534809219484925,1.634668782612654,True
160,t2dControlEmergeIgnoreLabValue,2000,1.282212371322013,0.00517201012596414,1.0796497261496825,1.522779588000642,True
161,t2dControlEmergeIgnoreLabValue,2000,1.2218538610943674,0.023857063081514654,1.0300397145870086,1.4493876660569338,True
162,t2dControlEmergeIgnoreLabValue,2000,1.2736388673116306,0.007107373216733076,1.0706127485903378,1.5151659332122895,True
163,t2dControlEmergeIgnoreLabValue,2000,1.1315194607702108,0.17329337451270896,0.9523612689259757,1.344380889770546,False
164,t2dControlEmergeIgnoreLabValue,2000,1.0727453488442582,0.4528424787076378,0.9021738545259647,1.2755663198327256,False
165,t2dControlEmergeIgnoreLabValue,2000,1.1695637337086344,0.08454056687725672,0.9831073714030981,1.391383451081477,False
166,t2dControlEmergeIgnoreLabValue,2000,1.2515150529590964,0.012250117398125225,1.0528704415656351,1.487637857374085,True
167,t2dControlEmergeIgnoreLabValue,2000,1.1695637337086344,0.08454056687725672,0.9831073714030981,1.391383451081477,False
168,t2dControlEmergeIgnoreLabValue,2000,1.2507609297177642,0.012366774514883397,1.0524837922519943,1.486391443578528,True
169,t2dControlEmergeIgnoreLabValue,2000,1.4103209393614038,0.00010299830507342719,1.1870519282157332,1.6755839443274567,True
170,t2dControlEmergeIgnoreLabValue,2000,1.0537505399049767,0.5740696015886935,0.8894322449440885,1.2484258431847508,False
171,t2dControlEmergeIgnoreLabValue,2000,1.2779290698117478,0.006721529300278089,1.0729069597566203,1.522128915857135,True
172,t2dControlEmergeIgnoreLabValue,2000,1.181002331983533,0.06483406540917525,0.9937315505142627,1.4035646824625256,False
173,t2dControlEmergeIgnoreLabValue,2000,1.0729512847531815,0.4522259416096912,0.9021333623899968,1.2761133857233669,False
174,t2dControlEmergeIgnoreLabValue,2000,1.1814940852374007,0.06784611090382436,0.9918941551559717,1.4073359200624134,False
175,t2dControlEmergeIgnoreLabValue,2000,1.1908913033103734,0.0616521797395794,0.9956537165973812,1.4244129988757666,False
176,t2dControlEmergeIgnoreLabValue,2000,1.2793783830976078,0.005753568408838217,1.076662608956439,1.5202618104514076,True
177,t2dControlEmergeIgnoreLabValue,2000,1.228144111030134,0.020864343473070097,1.0347369616376603,1.4577018250810088,True
178,t2dControlEmergeIgnoreLabValue,2000,1.2569555201134148,0.011443346022601594,1.05566619258991,1.4966257237692324,True
179,t2dControlEmergeIgnoreLabValue,2000,1.0940253050712343,0.3309642913549904,0.9199229699871789,1.3010778154097924,False
180,t2dControlEmergeIgnoreLabValue,2000,1.2956406443174284,0.004022220165875853,1.0884636518760609,1.5422514810797099,True
181,t2dControlEmergeIgnoreLabValue,2000,1.1453530625890287,0.13451190348823633,0.963628852600729,1.3613474051151244,False
182,t2dControlEmergeIgnoreLabValue,2000,1.532976723452914,1.6557659217223902e-06,1.2877027034248352,1.824969092942193,True
183,t2dControlEmergeIgnoreLabValue,2000,1.0636019029689368,0.5256882078441846,0.8903957197788673,1.270501399400364,False
184,t2dControlEmergeIgnoreLabValue,2000,1.2222464320732105,0.026661643064471205,1.0268055763617236,1.4548872494527874,True
185,t2dControlEmergeIgnoreLabValue,2000,1.0240773847144724,0.8238381959384937,0.8600570333955647,1.219377842586971,False
186,t2dControlEmergeIgnoreLabValue,2000,1.085999312005504,0.36326554833436125,0.9164061262434093,1.286977980506391,False
187,t2dControlEmergeIgnoreLabValue,2000,1.3184292131859088,0.0032003328740047203,1.0995856182820742,1.5808278694093514,True
188,t2dControlEmergeIgnoreLabValue,2000,1.2975063558176017,0.003922187574782155,1.089494732576117,1.5452325679504382,True
189,t2dControlEmergeIgnoreLabValue,2000,1.4142273279575832,9.664023398605947e-05,1.1894903825212069,1.6814250577653485,True
190,t2dControlEmergeIgnoreLabValue,2000,1.1093050093224561,0.26428619388914265,0.9310482280871276,1.3216905060182744,False
191,t2dControlEmergeIgnoreLabValue,2000,1.3536888643271623,0.0005979547053821331,1.1405478988831832,1.606660748924009,True
192,t2dControlEmergeIgnoreLabValue,2000,1.1038098204090108,0.28623174576522853,0.9272415433854345,1.314000789031634,False
193,t2dControlEmergeIgnoreLabValue,2000,1.0746528641815558,0.4471860370618125,0.9018100804430934,1.2806230530559015,False
194,t2dControlEmergeIgnoreLabValue,2000,1.3779891885983888,0.0003199178558209413,1.1588718367443829,1.6385368456519669,True
195,t2dControlEmergeIgnoreLabValue,2000,1.126046183321569,0.19720323404409718,0.9457507913207992,1.3407126048525513,False
196,t2dControlEmergeIgnoreLabValue,2000,1.219912686518538,0.02306048809583555,1.0307429934944727,1.4438002218996944,True
197,t2dControlEmergeIgnoreLabValue,2000,1.1853224610822832,0.05887509964764479,0.9974661561846871,1.408558403746,False
198,t2dControlEmergeIgnoreLabValue,2000,1.1689370153361847,0.08107575093149616,0.9849711413429012,1.3872627211799402,False
199,t2dControlEmergeIgnoreLabValue,2000,1.556717269098118,2.44509085060618e-07,1.316174091376792,1.8412219719150724,True
