,age,ageCount,label
6,66.0,18067,No Lab
7,6.0,52165,No Lab
8,40.0,42439,No Lab
9,72.0,11602,No Lab
10,74.0,7579,No Lab
11,87.0,7560,No Lab
12,104.0,612,No Lab
13,14.0,119376,No Lab
14,61.0,27395,No Lab
15,78.0,11435,No Lab
16,88.0,7371,No Lab
17,93.0,5409,No Lab
18,108.0,132,No Lab
19,35.0,39292,No Lab
20,25.0,90960,No Lab
21,15.0,121795,No Lab
22,10.0,97778,No Lab
23,82.0,9458,No Lab
24,114.0,4,No Lab
25,22.0,105345,No Lab
26,63.0,23735,No Lab
27,90.0,6709,No Lab
28,97.0,3460,No Lab
29,107.0,190,No Lab
30,59.0,30259,No Lab
31,34.0,37401,No Lab
32,44.0,40476,No Lab
33,84.0,8460,No Lab
34,94.0,4914,No Lab
35,102.0,1161,No Lab
36,111.0,39,No Lab
37,32.0,40313,No Lab
38,45.0,40143,No Lab
39,62.0,25986,No Lab
40,79.0,10691,No Lab
41,5.0,42175,No Lab
42,99.0,2417,No Lab
43,112.0,20,No Lab
44,109.0,92,No Lab
45,76.0,11150,No Lab
46,33.0,37298,No Lab
47,51.0,37664,No Lab
48,86.0,7428,No Lab
49,26.0,84930,No Lab
50,101.0,1462,No Lab
51,1.0,8,No Lab
52,119.0,1,No Lab
53,54.0,35115,No Lab
54,23.0,101231,No Lab
55,47.0,39984,No Lab
56,4.0,20220,No Lab
57,81.0,9984,No Lab
58,13.0,119721,No Lab
59,38.0,43100,No Lab
60,106.0,301,No Lab
61,,142,No Lab
62,43.0,40729,No Lab
63,18.0,117757,No Lab
64,8.0,73370,No Lab
65,7.0,61334,No Lab
66,68.0,14389,No Lab
67,75.0,8370,No Lab
68,95.0,4509,No Lab
69,0.0,4,No Lab
70,65.0,20125,No Lab
71,29.0,61333,No Lab
72,21.0,110666,No Lab
73,28.0,68805,No Lab
74,55.0,35905,No Lab
75,48.0,42237,No Lab
76,80.0,10154,No Lab
77,89.0,7145,No Lab
78,96.0,3974,No Lab
79,115.0,1,No Lab
80,116.0,1,No Lab
81,56.0,35147,No Lab
82,71.0,12008,No Lab
83,31.0,46872,No Lab
84,16.0,122507,No Lab
85,49.0,42395,No Lab
86,103.0,792,No Lab
87,2.0,10,No Lab
88,27.0,78566,No Lab
89,20.0,114530,No Lab
90,57.0,33434,No Lab
91,67.0,16130,No Lab
92,52.0,36419,No Lab
93,37.0,42741,No Lab
94,77.0,12954,No Lab
95,70.0,12459,No Lab
96,92.0,6082,No Lab
97,3.0,9,No Lab
98,73.0,9101,No Lab
99,58.0,32390,No Lab
100,24.0,96244,No Lab
101,91.0,6390,No Lab
102,41.0,41436,No Lab
103,11.0,109868,No Lab
104,9.0,84746,No Lab
105,98.0,2944,No Lab
106,113.0,12,No Lab
107,17.0,118867,No Lab
108,42.0,41805,No Lab
109,50.0,39944,No Lab
110,60.0,28729,No Lab
111,69.0,13084,No Lab
112,85.0,8269,No Lab
113,110.0,52,No Lab
114,30.0,55495,No Lab
115,12.0,117151,No Lab
116,64.0,21764,No Lab
117,39.0,43139,No Lab
118,105.0,465,No Lab
0,51.0,6201,No lab matched
1,86.0,2335,No lab matched
2,76.0,6975,No lab matched
3,33.0,597,No lab matched
4,26.0,180,No lab matched
5,101.0,144,No lab matched
6,53.0,7206,No lab matched
7,66.0,13235,No lab matched
8,83.0,3143,No lab matched
9,46.0,3726,No lab matched
10,36.0,1041,No lab matched
11,100.0,223,No lab matched
12,19.0,58,No lab matched
13,54.0,7814,No lab matched
14,81.0,3847,No lab matched
15,47.0,4261,No lab matched
16,23.0,118,No lab matched
17,38.0,1499,No lab matched
18,106.0,24,No lab matched
19,13.0,12,No lab matched
